CID,a
11,5.090322580645162e-07
13,2.9677419354838713e-09
176,1.0129032258064515e-07
177,5.819354838709678e-06
180,1.4903225806451614e-06
196,1.464516129032258e-15
222,4.838709677419355e-05
227,1.8064516129032257e-12
240,8.193548387096774e-09
241,6.116129032258064e-07
242,4.516129032258065e-12
243,4.516129032258065e-12
244,6.064516129032258e-10
253,6.903225806451613e-17
260,0.0001187741935483871
262,1.567741935483871e-09
263,4.516129032258064e-08
264,1.064516129032258e-08
280,0.00031161290322580644
281,1.0
297,0.003006451612903226
300,4.1935483870967745e-10
307,1.864516129032258e-10
311,1.0967741935483871e-16
313,0.00022854193548387097
338,5.290322580645161e-13
356,9.096774193548387e-08
379,2.3935483870967742e-11
398,1.1096774193548386e-07
424,1.6774193548387098e-15
453,6.387096774193548e-17
525,2.1161290322580646e-16
527,2.0451612903225805e-06
612,5.24516129032258e-10
614,1.9483870967741936e-16
650,3.664516129032258e-07
674,9.806451612903226e-06
679,3.870967741935484e-09
700,2.606451612903226e-09
702,3.825806451612903e-07
712,2.5096774193548386e-05
713,3.9354838709677417e-10
753,1.0838709677419355e-12
768,4.7870967741935485e-06
784,1.270967741935484e-08
785,1.2258064516129032e-13
798,7.870967741935484e-11
807,1.503225806451613e-09
878,9.741935483870967e-06
887,8.193548387096775e-07
931,5.483870967741936e-10
936,2.709677419354839e-12
942,2.4516129032258066e-10
948,0.0002767741935483871
949,4.516129032258064e-09
957,5.12258064516129e-10
965,3.5225806451612905e-15
980,3.225806451612903e-12
988,3.3161290322580645e-17
992,7.096774193548388e-13
996,2.258064516129032e-09
1017,4.103225806451613e-15
1030,8.387096774193549e-10
1031,1.3548387096774195e-07
1032,2.2774193548387094e-08
1049,1.3419354838709678e-07
1057,3.090322580645161e-12
1068,3.238709677419355e-06
1101,3.3548387096774197e-17
1110,1.232258064516129e-15
1119,1.935483870967742e-05
1130,1.161290322580645e-18
1140,1.832258064516129e-07
1146,1.0387096774193548e-05
1176,7.741935483870968e-14
1183,7.612903225806451e-13
1254,4.948387096774193e-11
1486,9.000709677419356e-16
2078,1.4193548387096773e-13
2087,7.741935483870967e-13
2244,1.6258064516129033e-13
2256,1.8645161290322583e-15
2286,7.096774193548388e-16
2319,4.1935483870967737e-13
2345,1.4451612903225806e-12
2365,2.1935483870967742e-08
2519,5.806451612903226e-15
2537,4.193548387096774e-09
2707,9.677419354838709e-08
2730,1.3032258064516128e-13
2758,1.2258064516129031e-08
2943,1.6129032258064518e-14
3017,5.812903225806452e-13
3024,2.864516129032258e-07
3026,1.2967741935483872e-13
3030,8.064516129032258e-14
3039,1.0193548387096775e-10
3048,3.8e-14
3061,0.0
3062,0.0
3118,6.290322580645161e-13
3120,5.32258064516129e-17
3225,1.0129032258064516e-18
3283,3.470967741935484e-06
3286,9.67741935483871e-15
3291,3.5032258064516132e-15
3301,7.806451612903226e-08
3314,1.4258064516129034e-10
3327,2.541935483870968e-13
3589,2.5806451612903226e-12
3598,5.354838709677419e-19
